applicant_id,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE,DEBT_TO_INCOME,ANNUITY_TO_INCOME,CREDIT_TERM,IS_PENSIONER_SENTINEL,EMPLOYED_YEARS,AGE_YEARS,EMPLOYED_TO_AGE_RATIO,IS_THIN_FILE,syn_upi_txn_count_monthly,syn_avg_txn_amount,syn_txn_consistency,syn_utility_payment_reliability,syn_monthly_savings_rate,syn_income_stability_score
100482,0,F,-22147,-1496,323925.22,1893458.43,91575.65,Higher education,Married,House / apartment,Working,0.561,0.4456,0.4284,1,0.0449,2,0.7645,0.0115,0.03,5.845356622741509,0.2827061443378814,20.67643997066906,0,4.098630136986301,60.67671232876712,0.0675486521876552,0,33,9395.64,0.5596,0.7919,0.1702,0.1364
114711,0,F,-18897,-1253,160327.97,372488.46,43279.33,Secondary,Married,With parents,Commercial associate,0.4773,0.5281,0.4983,2,0.1945,1,0.6078,0.0958,1.74,2.323290564958816,0.2699424810281076,8.606613364855695,0,3.432876712328768,51.772602739726025,0.0663068211885484,0,15,2596.12,0.7154,0.7068,0.1792,0.335
118779,0,F,-8812,-8653,195544.4,627134.81,27172.98,Higher education,Married,House / apartment,Pensioner,0.5612,0.4189,0.2662,3,0.1213,1,0.7837,0.2762,1.39,3.2071223210687703,0.138960665710703,23.07935346068043,0,23.70684931506849,24.14246575342466,0.9819564230594644,0,19,5357.61,0.8564,0.9156,0.15,0.7004
101244,0,F,-18461,-9690,109970.0,268569.13,11867.0,Secondary,Married,House / apartment,Commercial associate,0.4778,0.6384,0.4737,1,0.1228,1,0.8893,0.0753,0.12,2.442203600982086,0.1079112485223242,22.63159433723772,0,26.54794520547945,50.57808219178082,0.5248903093006879,0,10,1416.53,0.5996,0.8829,0.1599,0.8375
104145,0,M,-18664,-11781,321584.42,1740304.68,148529.24,Higher education,Married,With parents,State servant,0.4661,0.5587,0.7659,2,0.0376,1,0.5303,0.0948,0.2,5.411657318473327,0.4618670270157988,11.7169163458993,0,32.276712328767125,51.13424657534247,0.631215173596228,0,36,8342.54,0.6629,0.8466,0.1615,0.7309
105218,0,M,-10058,-3175,284382.14,1305878.6,142942.33,Lower secondary,Widow,With parents,Self-employed,0.8391,0.6647,0.5045,2,0.0521,0,0.6526,0.1318,1.06,4.591985277275148,0.5026417270789226,9.135702489248638,0,8.698630136986301,27.556164383561644,0.3156691191091668,0,28,5474.99,0.7372,0.9081,0.1205,0.7638
101512,0,F,-16128,-5251,199081.71,442969.18,29249.96,Secondary,Single / not married,House / apartment,Commercial associate,0.322,0.2295,0.2994,2,0.281,3,0.6598,0.0859,0.33,2.225062161662164,0.1469243960180973,15.144266180193068,0,14.386301369863014,44.18630136986302,0.3255828373015872,0,25,8690.65,0.6527,0.7259,0.0614,0.7118
119598,0,M,-12354,-5930,126911.6,255867.51,11259.7,Secondary,Married,House / apartment,Commercial associate,0.5673,0.4915,0.4735,2,0.0452,1,0.8591,0.1936,0.06,2.016108141414969,0.0887208103908547,22.724185369059565,0,16.246575342465754,33.846575342465755,0.4800064756354217,0,7,4874.97,0.5165,0.8748,0.0762,0.7413
107969,0,F,-18261,-11360,93797.46,210446.55,9000.32,Incomplete higher,Single / not married,With parents,Working,0.5354,0.3056,0.8063,3,0.0312,2,0.6087,0.0313,0.08,2.243627386072075,0.0959548371565711,23.38211863578184,0,31.12328767123288,50.03013698630137,0.6220907945895624,0,11,2311.46,0.8237,0.7918,0.1209,0.5581
119900,0,F,-16051,-4812,695343.66,2088531.01,121395.24,Higher education,Married,Rented apartment,Commercial associate,0.4735,0.4624,0.2748,2,0.0238,1,0.935,0.3153,2.58,3.0035953876389696,0.1745830831333099,17.204389644931712,0,13.183561643835615,43.97534246575343,0.299794405333001,0,27,21654.36,0.7351,0.295,0.1605,0.7951
106598,0,F,-21897,-4176,136085.01,715449.77,45046.0,Higher education,Married,House / apartment,Working,0.3112,0.4183,0.4271,2,0.0709,2,0.7706,0.0604,0.22,5.257373828315109,0.3310136803458367,15.882648181858546,0,11.441095890410958,59.99178082191781,0.1907110563090834,0,15,2332.48,0.8115,0.5442,0.0066,0.6604
112114,0,F,-13419,-11283,112901.31,263341.55,9069.47,Secondary,Civil marriage,House / apartment,Pensioner,0.6055,0.4685,0.6168,3,0.0609,2,0.8112,0.1623,1.22,2.332493307650726,0.0803309545301113,29.03604620777179,0,30.912328767123288,36.76438356164383,0.8408227140621508,0,13,1732.84,0.8667,0.9502,0.0983,0.8528
117259,0,F,-22650,-73,281132.17,892539.24,33908.61,Higher education,Married,House / apartment,State servant,0.5821,0.507,0.6272,2,0.207,2,0.8102,0.1373,2.57,3.174802940552837,0.1206144782363398,26.32190585223045,0,0.2,62.05479452054794,0.0032229580573951,0,29,5534.59,0.7763,0.9659,0.173,0.0
119028,0,M,-15086,-9564,92329.83,317156.1,13524.45,Secondary,Married,With parents,Self-employed,0.2465,0.7701,0.4968,4,0.2956,1,0.5447,0.028,0.03,3.4350339429846235,0.1464797454950366,23.450572851391367,0,26.2027397260274,41.33150684931507,0.6339652658093596,0,2,1907.85,0.6515,0.5702,0.1097,0.7257
117254,0,M,-22967,-10100,208515.86,768861.08,62490.22,Incomplete higher,Married,Rented apartment,State servant,0.2437,0.4079,0.5718,0,0.1339,2,0.6799,0.0663,0.83,3.687302634917075,0.2996904887714536,12.303702563377117,0,27.671232876712327,62.92328767123288,0.4397613967866939,0,27,8112.15,0.7338,0.8959,0.2154,0.7112
103131,0,M,-23733,-3885,212698.24,745055.4,41889.53,Secondary,Married,House / apartment,Working,0.3938,0.4599,0.5213,2,0.0892,1,0.8619,0.3336,1.5,3.502875247110649,0.1969434725929091,17.786196216572495,0,10.643835616438356,65.02191780821917,0.1636961193275186,0,23,8153.12,0.4928,0.4818,0.1523,0.6359
