applicant_id,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE,DEBT_TO_INCOME,ANNUITY_TO_INCOME,CREDIT_TERM,IS_PENSIONER_SENTINEL,EMPLOYED_YEARS,AGE_YEARS,EMPLOYED_TO_AGE_RATIO,IS_THIN_FILE,syn_upi_txn_count_monthly,syn_avg_txn_amount,syn_txn_consistency,syn_utility_payment_reliability,syn_monthly_savings_rate,syn_income_stability_score
109123,1,M,-16842,-3361,103161.58,590364.16,29642.78,Higher education,Married,House / apartment,Working,0.4522,0.4528,0.2633,0,0.0694,4,0.8533,0.3542,5.95,5.722713436533252,0.2873432144021058,19.91595120295735,0,9.208219178082192,46.14246575342466,0.1995606222538891,0,13,1658.38,0.7225,0.782,0.019,0.668
105162,0,F,-13648,-9135,65243.59,122127.31,10103.13,Incomplete higher,Married,House / apartment,Pensioner,0.4437,0.432,0.6841,3,0.0198,1,0.8287,0.2073,4.49,1.8718667994817573,0.1548524537046474,12.08806676742752,0,25.02739726027397,37.391780821917806,0.6693288393903869,0,3,2538.43,0.6349,0.6003,0.0429,0.7303
102909,0,M,-20143,-13880,76151.92,299578.74,22269.88,Secondary,Married,House / apartment,Working,0.7205,0.5217,0.3573,2,0.2565,1,0.9372,0.458,5.43,3.933961743840471,0.2924401643451669,13.452193725336642,0,38.02739726027397,55.18630136986302,0.6890731271409422,0,8,2722.3,0.7103,0.3878,0.0387,0.8528
108123,0,M,-25001,-6137,109872.28,178595.06,13507.58,Secondary,Married,House / apartment,Self-employed,0.2003,0.5242,0.4651,1,0.1559,3,0.7118,0.0234,0.08,1.6254787831835291,0.1229389250864731,13.221839885456909,0,16.813698630136987,68.4958904109589,0.2454701811927523,0,14,1916.58,0.7452,0.811,0.0976,0.7829
104061,0,M,-8536,-7489,168504.3,413860.17,15002.69,Incomplete higher,Married,Rented apartment,Working,0.2554,0.2762,0.7425,2,0.2994,1,0.4883,0.0922,1.29,2.456080764704521,0.0890344638089354,27.5857309589147,0,20.51780821917808,23.386301369863013,0.8773430178069354,0,17,4684.86,0.8375,0.8687,0.0685,0.6778
112728,0,F,-11601,-7745,144384.22,861591.06,34233.28,Secondary,Single / not married,Rented apartment,Self-employed,0.5918,0.5796,0.5656,2,0.1308,0,0.7284,0.0724,0.65,5.967349202011135,0.2370984862473198,25.168229862870284,0,21.21917808219178,31.78356164383561,0.6676148607878631,0,10,3371.55,0.9658,0.4257,0.1198,0.6072
113078,0,F,-21131,-269,125354.56,581598.25,66219.87,Secondary,Separated,House / apartment,Self-employed,0.3797,0.7747,0.7133,2,0.0539,1,0.8414,0.1438,2.88,4.63962579422719,0.5282605594882228,8.782835876905226,0,0.736986301369863,57.89315068493151,0.0127301121574937,0,13,1870.64,0.733,0.7812,0.2382,0.0
104800,0,F,-9171,-13424,116500.74,222720.96,25209.69,Higher education,Married,House / apartment,Working,0.3707,0.4949,0.6826,3,0.1216,1,0.7781,0.3463,2.15,1.91175575365444,0.2163908143416084,8.83473616692629,0,36.778082191780825,25.12602739726028,1.4637444117326357,0,14,2888.84,0.7627,0.9236,0.119,0.6908
101728,0,F,-7790,-5539,110073.13,524488.47,22785.0,Incomplete higher,Married,House / apartment,Working,0.377,0.8899,0.2205,1,0.182,3,0.8775,0.0653,1.19,4.764909201727978,0.2069987471056742,23.01902435813035,0,15.175342465753424,21.34246575342466,0.7110397946084723,0,4,2079.31,0.7032,0.6811,0.1238,0.636
106834,0,M,-14051,-7789,78743.8,390070.23,46252.38,Incomplete higher,Married,House / apartment,Pensioner,0.7579,0.4564,0.4723,3,0.2074,2,0.592,0.0113,0.09,4.953662764560511,0.587378053891227,8.433516934696117,0,21.339726027397266,38.49589041095891,0.5543377695537685,0,13,1930.11,0.7138,0.7669,0.1278,0.5346
