applicant_id,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE,DEBT_TO_INCOME,ANNUITY_TO_INCOME,CREDIT_TERM,IS_PENSIONER_SENTINEL,EMPLOYED_YEARS,AGE_YEARS,EMPLOYED_TO_AGE_RATIO,IS_THIN_FILE,syn_upi_txn_count_monthly,syn_avg_txn_amount,syn_txn_consistency,syn_utility_payment_reliability,syn_monthly_savings_rate,syn_income_stability_score
100001,0,F,-13899,-12988,174136.44,303595.22,15569.43,Secondary,Single / not married,House / apartment,Working,0.5495,0.6509,0.4824,2,0.1413,1,0.9039,0.0943,0.87,1.7434330229789927,0.0894093734774869,19.499443460679032,0,35.583561643835615,38.07945205479452,0.9344557162385784,0,29,7649.78,0.7135,0.91,0.1928,0.695
100002,1,F,-13788,-12901,83117.35,448892.8,26566.37,Higher education,Married,With parents,Commercial associate,0.3102,0.4834,0.4962,1,0.069,2,0.6183,0.1102,1.93,5.400711163192763,0.3196248436698234,16.897031848912743,0,35.345205479452055,37.77534246575343,0.9356686974180448,0,8,2015.64,0.7446,0.8385,0.0475,0.5105
100003,0,M,-7560,-8821,222514.64,545388.76,25161.92,Incomplete higher,Separated,House / apartment,Working,0.7234,0.5149,0.6963,2,0.1005,2,0.9644,0.0713,1.41,2.4510241663200225,0.1130798404994835,21.675164693314343,0,24.167123287671235,20.71232876712329,1.1667989417989415,0,37,3119.39,0.6985,0.5507,0.1023,0.7306
100004,0,F,-24154,365243,247041.25,1341278.19,129461.09,Secondary,Single / not married,House / apartment,Working,0.4694,0.4648,0.5248,2,0.1132,0,0.8106,0.0312,0.22,5.429369346212424,0.5240464497325852,10.360473482804757,1,,66.17534246575343,0.0,0,37,3639.71,0.3874,0.92,0.0992,0.0
100005,0,F,-22264,-13046,50358.9,134153.15,11833.38,Secondary,Married,House / apartment,State servant,0.3102,0.7077,0.4548,2,0.0409,3,0.8742,0.3842,4.55,2.663941229852121,0.2349809070492008,11.33684120682341,0,35.74246575342466,60.9972602739726,0.5859683794466404,0,2,1381.83,0.4939,0.856,0.1771,0.6912
100006,0,M,-11864,-7096,71955.36,383128.41,18997.84,Incomplete higher,Single / not married,House / apartment,Pensioner,0.3113,0.7006,0.5546,2,0.0947,7,0.9227,0.1562,1.61,5.324529124723995,0.2640225828902808,20.166945821209147,0,19.44109589041096,32.50410958904109,0.5981119352663521,0,7,1889.11,0.807,0.9155,0.0708,0.5463
100007,0,F,-9757,-6018,157993.98,438042.12,23404.24,Lower secondary,Single / not married,Municipal apartment,Commercial associate,0.3695,0.3302,0.5123,2,0.0446,1,0.582,0.4485,3.27,2.7725241176910664,0.1481337453490316,18.71635737797937,0,16.487671232876714,26.731506849315068,0.6167879471148919,0,20,7662.12,0.619,0.7335,0.1453,0.6436
100008,0,F,-22233,-6718,123755.93,241758.14,10345.03,Higher education,Single / not married,House / apartment,Working,0.4,0.7744,0.6354,4,0.081,1,0.9032,0.1139,2.54,1.9535075208113264,0.0835921963497022,23.369496270189646,0,18.405479452054795,60.91232876712328,0.3021634507263977,0,9,2997.18,0.5556,0.8113,0.1117,0.6644
100009,0,F,-22263,-342,145912.06,759066.22,31871.35,Secondary,Married,House / apartment,Working,0.2917,0.8339,0.3247,3,0.0319,4,0.5617,0.038,0.81,5.20221714366859,0.2184284835674309,23.816569426773576,0,0.936986301369863,60.99452054794521,0.0153618110766743,0,15,4258.29,0.5423,0.8312,0.0877,0.1705
100010,0,F,-23340,-4822,92118.02,253230.87,9703.98,Secondary,Civil marriage,House / apartment,Working,0.7214,0.731,0.5147,1,0.427,2,0.9444,0.1449,0.85,2.748982989430298,0.1053429068492787,26.09556800405607,0,13.210958904109589,63.945205479452056,0.2065981148243359,0,5,2265.64,0.8868,0.9201,0.1278,0.4829
