SK_ID_CURR,TARGET,CODE_GENDER,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_INCOME_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,BUREAU_LOAN_COUNT,BUREAU_OVERDUE_RATIO,PREV_APPLICATION_COUNT,PREV_APPROVAL_RATE,INSTALLMENT_LATE_RATIO,INSTALLMENT_AVG_DAYS_LATE
100001,0,F,-13899,-12988,174136.44,303595.22,15569.43,Secondary,Single / not married,House / apartment,Working,0.5495,0.6509,0.4824,2,0.1413,1,0.9039,0.0943,0.87
100002,1,F,-13788,-12901,83117.35,448892.8,26566.37,Higher education,Married,With parents,Commercial associate,0.3102,0.4834,0.4962,1,0.069,2,0.6183,0.1102,1.93
100003,0,M,-7560,-8821,222514.64,545388.76,25161.92,Incomplete higher,Separated,House / apartment,Working,0.7234,0.5149,0.6963,2,0.1005,2,0.9644,0.0713,1.41
100004,0,F,-24154,365243,247041.25,1341278.19,129461.09,Secondary,Single / not married,House / apartment,Working,0.4694,0.4648,0.5248,2,0.1132,0,0.8106,0.0312,0.22
100005,0,F,-22264,-13046,50358.9,134153.15,11833.38,Secondary,Married,House / apartment,State servant,0.3102,0.7077,0.4548,2,0.0409,3,0.8742,0.3842,4.55
100006,0,M,-11864,-7096,71955.36,383128.41,18997.84,Incomplete higher,Single / not married,House / apartment,Pensioner,0.3113,0.7006,0.5546,2,0.0947,7,0.9227,0.1562,1.61
100007,0,F,-9757,-6018,157993.98,438042.12,23404.24,Lower secondary,Single / not married,Municipal apartment,Commercial associate,0.3695,0.3302,0.5123,2,0.0446,1,0.582,0.4485,3.27
100008,0,F,-22233,-6718,123755.93,241758.14,10345.03,Higher education,Single / not married,House / apartment,Working,0.4,0.7744,0.6354,4,0.081,1,0.9032,0.1139,2.54
100009,0,F,-22263,-342,145912.06,759066.22,31871.35,Secondary,Married,House / apartment,Working,0.2917,0.8339,0.3247,3,0.0319,4,0.5617,0.038,0.81
100010,0,F,-23340,-4822,92118.02,253230.87,9703.98,Secondary,Civil marriage,House / apartment,Working,0.7214,0.731,0.5147,1,0.427,2,0.9444,0.1449,0.85
100011,0,F,-17090,-5590,238868.6,690274.07,28161.77,Secondary,Single / not married,House / apartment,State servant,0.6864,0.721,0.6101,2,0.1844,3,0.7727,0.0434,1.05
100012,0,M,-20461,-11374,225885.96,753414.22,26147.77,Secondary,Married,House / apartment,Working,0.7151,0.5144,0.407,5,0.0499,1,0.7084,0.075,0.08
100013,0,M,-20348,-3833,152713.19,645386.08,30496.92,Secondary,Single / not married,House / apartment,Pensioner,0.7877,0.3969,0.5511,3,0.2601,0,0.7483,0.0984,0.39
100014,0,M,-11139,-9571,273753.31,1194286.46,47819.7,Higher education,Married,House / apartment,Self-employed,0.5824,0.3443,0.1864,2,0.0513,2,0.8526,0.076,1.87
100015,0,F,-16671,-4702,190447.17,350625.04,12472.82,Incomplete higher,Married,House / apartment,Self-employed,0.3384,0.6791,0.5227,2,0.0578,2,0.7636,0.0578,0.42
100016,0,F,-11956,-5305,91801.98,531440.82,28744.28,Secondary,Married,House / apartment,Working,0.5684,0.7889,0.4353,1,0.1707,0,0.8718,0.0612,1.36
100017,0,F,-20782,-1006,180378.54,312815.13,29490.35,Lower secondary,Married,House / apartment,Working,0.4322,0.3151,0.5362,0,0.0524,0,0.7988,0.0802,1.65
100018,0,M,-24668,-7570,86908.8,457265.57,17283.16,Incomplete higher,Married,House / apartment,Commercial associate,0.6354,0.3934,0.5138,3,0.0521,3,0.9363,0.1704,3.52
100019,0,F,-8668,-1419,238744.13,1126746.65,106283.97,Higher education,Single / not married,Rented apartment,State servant,0.2882,0.7513,0.356,5,0.1468,2,0.8455,0.3524,5.4
100020,0,F,-8656,-3004,143277.81,401566.84,26173.54,Lower secondary,Civil marriage,House / apartment,Working,0.4427,0.661,0.1522,2,0.0195,2,0.4776,0.1318,0.42
100021,0,F,-12025,-7325,133029.44,557012.24,22066.01,Secondary,Single / not married,House / apartment,Commercial associate,0.4004,0.4326,0.3078,0,0.1471,0,0.8526,0.2887,3.1
100022,0,M,-9394,365243,101264.25,402349.9,31871.25,Secondary,Married,House / apartment,Working,0.4647,0.3717,0.488,3,0.0349,7,0.8071,0.1556,3.22
100023,0,M,-7461,-5900,288484.82,1298532.09,102322.79,Lower secondary,Single / not married,House / apartment,Working,0.5657,0.2324,0.5685,2,0.0955,1,0.5247,0.0631,1.38
100024,0,F,-24801,-3681,135267.39,651938.23,24871.68,Higher education,Civil marriage,House / apartment,Working,0.3697,0.5784,0.4982,2,0.1064,1,0.8325,0.2055,3.54
100025,0,F,-17717,-13099,116357.16,444115.98,28675.93,Secondary,Single / not married,House / apartment,Pensioner,0.4007,0.6572,0.3862,1,0.0714,1,0.671,0.3076,2.61
100026,0,M,-21194,-5103,121336.94,573066.23,29823.65,Higher education,Widow,Rented apartment,Commercial associate,0.6101,0.5098,0.5682,3,0.0851,1,0.6499,0.0431,0.17
100027,0,M,-17425,-4685,197357.1,471966.84,34289.62,Incomplete higher,Married,House / apartment,Working,0.492,0.5319,0.7625,2,0.0698,2,0.6156,0.1558,3.52
100028,0,F,-20649,-994,180050.79,831214.28,51844.7,Secondary,Married,House / apartment,Working,0.6047,0.67,0.7823,1,0.0683,3,0.9504,0.0213,0.38
100029,0,F,-19572,-5138,184795.1,632898.0,25099.08,Higher education,Married,House / apartment,Self-employed,0.5782,0.6471,0.3297,1,0.0186,1,0.6279,0.1942,0.68
